city,meal_at_an_inexpensive_restaurant,cappuccino_regular_size,basic_utilities_for_85_m2apartment_electricity_heating_cooling_water_garbage,broadband_internet_unlimited_data_60_mbps_or_higher,1_bedroom_apartment_in_city_centre,price_per_square_meter_to_buy_apartment_outside_of_centre,average_monthly_net_salary_after_tax,annual_mortgage_interest_rate_20_year_fixed_in_,market_basket_index,transportation_cost_index,sports_leisure_index,childcare_cost_index,predicted_salary_lr,predicted_salary_rf,city_cluster,SalaryToRent,SalaryToMarket
Jammu,350.0,102.5,4533.33,625.0,9000.0,153290.0,47500.0,13.83,814.25,801.09,3062.5,12111.110833333334,40346.95462239998,43680.22569952994,1,5.277777777777778,58.33589192508443
Sangli-India,200.0,60.0,3000.0,666.67,11000.0,47500.0,21000.0,11.8,936.2799999999999,1018.78,2383.33,9833.33,33403.469602571815,26789.01880087225,2,1.9090909090909092,22.429187849788526
Mangalore,250.0,202.25,2700.0,650.0,16809.0,36309.57,29292.15,7.93,898.07,3380.35,2160.0,12051.666666666668,46427.15523097148,33858.99016671991,1,1.7426467963590935,32.6167782021446
Erode-India,150.0,125.0,2244.28,653.59,12433.33,21613.91,42141.46,7.45,903.5500000000001,963.34,2034.56,12801.074166666665,35463.76128784446,36804.63604466923,2,3.389394474368492,46.63987604449117
Belgaum,200.0,180.0,2875.0,600.0,11500.0,37898.29,44701.11,10.75,956.2499999999999,2349.59,1243.33,10333.333333333334,37807.483023241024,39761.236495185774,2,3.887053043478261,46.746258823529416
Tirunelveli-Tamil-Nadu-India,118.0,135.33,2905.35,529.8,9531.19,24650.0,20712.87,9.83,872.46,685.6700000000001,2309.21,8886.311666666668,28521.023948030812,24984.525529169772,2,2.173167254036484,23.74076748504229
Gaya-India,250.0,60.0,4250.0,599.67,4000.0,47500.0,36153.575,10.25,811.6800000000001,1136.5,2290.625,11500.0,31195.098064991776,34175.721209297015,2,9.03839375,44.54166050660358
Jalgaon-India,250.0,70.0,3250.0,654.75,15000.0,48437.6,23333.33,9.17,891.12,1434.75,2266.67,10166.669166666667,35963.05880021048,29512.04693475737,2,1.5555553333333334,26.184273722955385
Udaipur,200.0,162.5,4375.0,637.0,12666.67,34982.71,37166.67,8.72,750.56,1957.94,2285.0,16777.777499999997,40089.297074870694,43437.242653072004,2,2.9342100173131533,49.518586122361974
Davanagere-Davangere-India,60.0,60.0,3631.22,500.0,10400.0,47500.0,32000.0,9.43,809.19,1136.5,1750.0,10083.33,23246.112242826523,33982.503935563014,2,3.076923076923077,39.54571855806424
Kozhikode-Calicut,150.0,112.25,3406.89,549.5,8666.67,64595.96,17958.33,9.37,913.2399999999999,937.39,2270.83,8361.1075,29545.4712741057,24163.40311923805,2,2.072114203032999,19.66441461171215
Kurnool-India,100.0,200.0,3097.32,700.0,7500.0,47500.0,50000.0,10.2,790.81,1136.5,2290.625,21891.67,42292.74439663784,49107.60317213261,2,6.666666666666667,63.226312262111
Akola-India,86.0,124.0,3075.72,832.23,10000.0,161458.66,30000.0,9.7,837.11,932.99,2000.0,16250.0,43274.340411911166,34190.74262509295,2,3.0,35.83758406899929
Rajahmundry-India,125.0,115.0,3097.32,600.0,9666.67,50000.0,40000.0,10.2,810.34,804.45,1075.0,21891.67,34014.14191590103,38911.30962592072,2,4.13792960761048,49.36199619912629
Bokaro-India,200.0,155.0,3833.33,625.0,9000.0,43055.64,60000.0,8.0,757.31,1136.5,2290.625,17633.333333333336,38339.419564804004,50537.1995883949,2,6.666666666666667,79.22779310982293
Bellary-India,60.0,221.37,2754.35,895.89,7000.0,47500.0,45000.0,8.62,1040.49,1228.0,1050.0,16166.67,45087.939474776285,46830.49620706301,2,6.428571428571429,43.248853905371504
Patiala-India,250.0,150.0,4894.84,801.96,12500.0,47500.0,31666.67,8.88,993.81,1136.5,2516.67,20208.336666666666,45708.352410906504,32719.543418321005,1,2.5333335999999997,31.863907587969532
Patiala-India,250.0,150.0,4894.84,801.96,12500.0,47500.0,31666.67,8.88,993.81,1136.5,2516.67,20208.336666666666,45708.352410906504,32719.543418321005,1,2.5333335999999997,31.863907587969532
Bhagalpur-India,200.0,133.33,2000.0,625.0,5000.0,82291.73,26500.0,8.0,814.9699999999999,839.6800000000001,1958.33,18500.003333333334,38792.11632440891,32761.02779869825,2,5.3,32.516534350957706
